Date,Close,Adj Close,Volume,High,Low,SMA,MACD,upper_band,middle_band,lower_band,supertrend_signal,RSI,aroon_up,aroon_down,kicking,upper_band_supertrend,lower_band_supertrend
2013-01-28,16.065357,13.757318,785517600,16.186071,15.566429,17.708290857142856,-0.21024101290124841,20.14892221580677,18.0811427,16.01336318419323,0,32.53508272533878,32.0,96.0,0.0,0.0,0.0
2013-01-29,16.366785,14.01544,571158000,16.435715,16.147142,17.5372705,-0.1877405444974204,20.186569381456696,17.98949985,15.792430318543305,0,35.87425363737425,28.000000000000004,92.0,0.0,0.0,0.0
2013-01-30,16.315357,13.971398,417155200,16.521429,16.232143,17.3835205,-0.16207124045965393,20.115181525297377,17.85496415,15.594746774702626,0,35.55094852248064,24.0,88.0,0.0,0.0,0.0
2013-01-31,16.2675,13.930419,319334400,16.402857,16.249287,17.21,-0.13516411295310948,19.898406079532137,17.6879285,15.477450920467865,0,35.2327437528329,20.0,84.0,0.0,0.0,0.0
2013-02-01,16.200714,13.873228,539484400,16.41,16.012501,17.039897857142858,-0.10979159596687382,19.690732576637735,17.5299285,15.369124423362265,0,34.76509098526286,16.0,80.0,0.0,0.0,0.0
2013-02-04,15.797143,13.527632,477117200,16.283571,15.785714,16.888290714285713,-0.10795360704400303,19.579742688276983,17.37871425,15.17768581172302,0,32.00095629474676,12.0,76.0,0.0,0.0,0.0
2013-02-05,16.351429,14.002286,573347600,16.419287,15.793571,16.816658071428574,-0.059588710669518874,19.415995289790764,17.26075,15.105504710209239,0,39.15629394829985,8.0,72.0,0.0,0.0,0.0
2013-02-06,16.333929,13.987301,593706400,16.660713,16.16357,16.69232142857143,-0.020951249865978627,19.21491205074436,17.13939295,15.063873849255645,0,39.01669997012342,4.0,68.0,0.0,0.0,0.0
2013-02-07,16.722143,14.403203,704580800,16.785713,16.218571,16.604413357142857,0.03550327502730266,19.041871186144995,17.05210725,15.062343313855003,0,43.802960846681465,4.0,64.0,0.0,0.0,0.0
2013-02-08,16.963572,14.611153,633158400,17.100357,16.723213,16.54058685714286,0.09071735610772302,18.80655855017714,16.9654465,15.124334449822856,0,46.60938490282553,4.0,60.0,0.0,0.0,0.0
